D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_56_852.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_56_852.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_56_852.jpg,0,0,0,8.41E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_56_957.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_56_957.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_56_957.jpg,0,0,0,7.79E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_059.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_059.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_059.jpg,0,0,0,7.81E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_161.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_161.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_161.jpg,0,0,0,7.89E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_264.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_264.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_264.jpg,0,0,0,8.08E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_364.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_364.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_364.jpg,0,0,0,7.84E-05
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_468.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_468.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_468.jpg,0,0.2953581,0,0.2301162
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_574.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_574.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_574.jpg,-0.09489811,0.6547333,0,0.9302069
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_679.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_679.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_679.jpg,-0.390594,0.9504291,0,1.903474
D:\Term-2\ML\project\dataset\IMG\center_2022_03_11_13_09_57_779.jpg, D:\Term-2\ML\project\dataset\IMG\left_2022_03_11_13_09_57_779.jpg, D:\Term-2\ML\project\dataset\IMG\right_2022_03_11_13_09_57_779.jpg,-0.6923853,1,0,3.058465
